species	clade	taxa1	n_monomers	pct_box_le2mm	pct_box_le3mm	pct_null_le3mm	enrichment_le3mm	box_le2mm_count	ev_canonical	ev_broad	ev_degenerate	ev_pwm_fimo	lines_positive
icagofuli	Invertebrate	Coleoptera	78628	0	0	0.18	0.01	0	0	0	0	0	0
ieecdtorr	Invertebrate	Ephemeroptera	40022	0	0	0.19	0.01	0	0	0	0	0	0
idbomdisc	Invertebrate	Diptera	333561	0	0	0.12	0.02	0	0	0	0	0	0
icnicinve	Invertebrate	Coleoptera	47195	0	0	0.17	0.01	0	0	0	0	0	0
jahalocto	Invertebrate		52420	0	0	0.03	0.07	0	0	0	0	0	0
bfalper	Vertebrates	Aves	58861	0	0	0.42	0	0	0	0	0	0	0
iypripert	Invertebrate	Hymenoptera	64585	0	0	0.35	0	0	0	0	0	0	0
icadabipu	Invertebrate	Coleoptera	79374	0	0	0.18	0.01	0	0	0	0	0	0
ddarathal	Viridiplantae	Dicots	79791	0	0	0.27	0	0	0	0	0	0	0
laapodist	Viridiplantae	Monocots	259867	0	0	0.57	0	0	0	0	0	0	0
dcspemari	Viridiplantae	Dicots	186350	0	0	0.15	0.01	0	0	0	0	0	0
idclutigr	Invertebrate	Diptera	1534444	0	0	0.32	0	0	0	0	0	0	0
lpphlprat	Viridiplantae	Monocots	150363	0	0	0.12	0.01	0	0	0	0	0	0
dmthaminu	Viridiplantae	Dicots	548156	0	0	0.23	0	0	0	0	0	0	0
icscaquad	Invertebrate	Coleoptera	591420	0	0	0.04	0	0	0	0	0	0	0
lpluzpall	Viridiplantae	Monocots	641603	0	0	0.12	0	0	0	0	0	0	0
qeorcflav	Invertebrate	Arthropoda	26178	0	0	0.35	0	0	0	1	1	0	0
qeallfusc	Invertebrate	Arthropoda	21486	0	0	0.27	0	0	0	0	0	0	0
inchrcarn	Invertebrate	Neuroptera	13418	0	0	0.13	0	0	0	0	0	0	0
iytipfemo	Invertebrate	Hymenoptera	7515	0	0	0.27	0	0	0	0	0	0	0
iybomhypn	Invertebrate	Hymenoptera	174136	0	0	0.01	0	0	0	0	0	0	0
iymaceuro	Invertebrate	Hymenoptera	18512	0	0	0.26	0	0	0	0	0	0	0
iyanddors	Invertebrate	Hymenoptera	1519	0	0	0.66	0	0	0	1	11	0	1
iyseltumu	Invertebrate	Hymenoptera	27014	0	0	0.15	0	0	0	38	38	0	2
iupsogibb	Invertebrate	Psocodea	90054	0	0	0.12	0	0	0	0	0	0	0
ipisogram	Invertebrate	Plecoptera	201890	0	0	0.2	0	0	0	0	0	0	0
ieprobifi	Invertebrate	Ephemeroptera	11589	0	0	0.37	0	0	0	0	5	0	0
idbibmarc	Invertebrate	Diptera	8370	0	0	0.05	0	0	0	0	0	0	0
idacrorbc	Invertebrate	Diptera	3045	0	0	0.39	0	0	0	0	0	0	0
idbelpand	Invertebrate	Diptera	50662	0	0	0		0	0	0	0	0	0
idmacatri	Invertebrate	Diptera	2789	0	0	0.18	0	0	0	0	0	0	0
icchroric	Invertebrate	Coleoptera	31612	0	0	0		0	0	0	0	0	0
iclepmacu	Invertebrate	Coleoptera	11278	0	0	0.34	0	0	0	0	51	0	1
