Species	Species.1	symbol	size	colour	border	width	architecture
iyAndDors1.1	iyAndDors1.1	circle	2	#8338ec	yes	1	Satellite/transposon
iyLasVill1.1	iyLasVill1.1	circle	2	#ff006e	yes	1	Satellite
iySelTumu1.1	iySelTumu1.1	circle	2	#8338ec	yes	1	Satellite/transposon
iyCoeConi1.1	iyCoeConi1.1	circle	2	#ff006e	yes	1	Satellite
iyStePhae1.1	iyStePhae1.1	circle	2	#ff006e	yes	1	Satellite
iyBomHypn1.1	iyBomHypn1.1	circle	2	#ff006e	yes	1	Satellite
iyNomFabr1.1	iyNomFabr1.1	circle	2	#ff006e	yes	1	Satellite
iyMacEuro1.1	iyMacEuro1.1	circle	2	#ff006e	yes	1	Satellite
iyCerRyby1.1	iyCerRyby1.1	circle	2	#3a86ff	yes	1	Transposon
iyMimDahl1.1	iyMimDahl1.1	circle	2	#ff006e	yes	1	Satellite
iyPemLugu1.1	iyPemLugu1.1	circle	2	#ff006e	yes	1	Satellite
iyTipFemo1.1	iyTipFemo1.1	circle	2	#ff006e	yes	1	Satellite
iyPriPert1.1	iyPriPert1.1	circle	2	#ff006e	yes	1	Satellite
iyAnoNige1.1	iyAnoNige1.1	circle	2	#ff006e	yes	1	Satellite
iyAncNigr1.1	iyAncNigr1.1	circle	2	#3a86ff	yes	1	Transposon
iyVesVulg1.1	iyVesVulg1.1	circle	2	#ff006e	yes	1	Satellite
iyApaInim1.hap1.1	iyApaInim1.hap1.1	circle	2	#ff006e	yes	1	Satellite
iyVulBima1.1	iyVulBima1.1	circle	2	#ff006e	yes	1	Satellite
iyAmbArma2.1	iyAmbArma2.1	circle	2	#ff006e	yes	1	Satellite
iyBuaLabo1.1	iyBuaLabo1.1	circle	2	#8338ec	yes	1	Satellite/transposon
iyOphLute1.1	iyOphLute1.1	circle	2	#ff006e	yes	1	Satellite
inChrCarn1.1	inChrCarn1.1	circle	2	#ff006e	yes	1	Satellite
icPteMadi1.1	icPteMadi1.1	circle	2	#ff006e	yes	1	Satellite
icAgoFuli1.1	icAgoFuli1.1	circle	2	#ff006e	yes	1	Satellite
icOphArdo1.1	icOphArdo1.1	circle	2	#3a86ff	yes	1	Transposon
icLeiSpin1.1	icLeiSpin1.1	circle	2	#3a86ff	yes	1	Transposon
icNebBrev1.1	icNebBrev1.1	circle	2	#ff006e	yes	1	Satellite
icNebSali1.1	icNebSali1.1	circle	2	#ff006e	yes	1	Satellite
icCarProb1.1	icCarProb1.1	circle	2	#ff006e	yes	1	Satellite
icPhiCogn1.1	icPhiCogn1.1	circle	2	#3a86ff	yes	1	Transposon
icOcyOlen1.1	icOcyOlen1.1	circle	2	#ff006e	yes	1	Satellite
icQueLate1.hap1.1	icQueLate1.hap1.1	circle	2	#ff006e	yes	1	Satellite
icSilAtra2.1	icSilAtra2.1	circle	2	#ff006e	yes	1	Satellite
