tt_node_age	broad	our_age	n_pairs
142.11	Vertebrates	136.59685308	2
142.17	Viridiplantae	129.728367616692	120
145	Invertebrates	170.950345308333	3
145.49	Fungi	182.987640506833	18
146.03	Invertebrates	168.77238817	2
151.84	Invertebrates	49.15325804	1
156.37	Fungi	163.587921523333	3
156.71	Fungi	211.119837616474	57
157.15	Fungi	198.971843411955	44
159.61	Viridiplantae	155.471712591457	1290
164.15	Fungi	125.73203179	1
165.45	Invertebrates	231.7036458425	16
175.85	Fungi	220.9553221775	4
184.5	Fungi	104.776693155	2
190.78	Invertebrates	151.0621370775	4
195.56	Invertebrates	159.035519605	4
196.21	Invertebrates	196.973871494444	9
208.94	Vertebrates	212.132807201667	3
215.25	Invertebrates	117.96781931	2
224.02	Vertebrates	287.668761316536	28
230.39	Viridiplantae	309.18604049025	2
233.38	Invertebrates	222.4753088	2
238.83	Invertebrates	147.459774131667	6
249.98	Fungi	83.8213545233333	3
256.47	Invertebrates	150.929415884412	17
264.82	Invertebrates	293.05773484475	40
279.83	Vertebrates	286.0426273174	9
282.37	Invertebrates	212.342074764375	32
299.39	Invertebrates	220.7023537385	50
308.09	Invertebrates	223.29609353	1
318.95	Vertebrates	321.976488459827	60
318.99	Vertebrates	321.97648846566	10
320.41	Fungi	251.4640635425	4
321.22	Invertebrates	253.952749410833	12
